source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
25065,96.6,13.2,3.3,3.15,1.15,0.6,,,,,0.31,0.02,0.39,1.47,0.018,,,47.0,15.9,0.1,1.21,1.47,0.44,,,,0.003,0.0033,0.059,0.71,425.0,0.9,3.5
25071,82.1,6.0,3.7,4.3,1.26,0.86,0.37,,0.3,,,0.05,0.49,,,,,28.0,30.5,0.09,1.57,2.11,0.58,,,,,,,,,1.05,4.0
25098,132.0,8.3,8.6,6.3,1.67,1.8,,,,,,,,,,,,,,,2.2,,,,,,,,,,474.0,,
25099,161.0,10.5,10.1,7.86,1.6,1.09,0.2,,0.2,,0.53,0.11,0.73,2.26,,,0.01,,,,2.43,2.61,0.88,0.01,0.01,0.01,0.01,0.01,0.06,1.31,570.0,,
25103,122.0,5.49,2.0,9.67,1.33,0.88,0.41,0.3,0.3,,1.05,0.086,,,,,,42.0,18.4,0.066,3.24,4.16,1.08,0.05,0.05,0.05,0.0085,0.0085,0.13,2.01,,0.87,4.0
25106,94.9,5.3,2.0,6.6,1.44,2.0,0.88,0.3,0.3,,,,,,,,,,145.0,0.23,,,,,,,,,,,,,
25111,118.0,7.13,13.0,3.35,1.8,2.58,0.42,,0.1,,0.37,0.1,0.18,1.1,,,0.005,14.6,32.8,0.15,1.13,1.39,0.32,0.0028,0.005,0.0018,0.00092,0.0028,0.081,0.68,631.0,1.6,2.0
25123,147.0,5.82,5.16,10.8,1.74,3.01,0.91,0.29,0.084,,0.64,0.03,,,,,,31.0,16.0,0.06,3.37,3.25,2.27,0.017,0.017,0.017,0.034,0.051,0.21,1.77,,0.62,5.2
25124,133.0,8.05,5.0,8.61,1.01,0.9,,,,,,,,,,,,40.3,22.1,0.065,1.4,2.54,0.95,,,,,,,,,1.31,5.16
25159,132.0,12.8,4.5,6.83,1.5,2.4,,,,,,,,,,,,57.8,5.1,0.1,2.73,3.25,0.52,,,,,,,,583.0,1.6,2.0
25164,96.7,11.2,3.5,4.08,1.9,1.1,,,,,,,,,,,,26.0,13.7,0.057,0.8,2.62,0.39,,,,,,,,,0.6,3.3
25190,107.0,9.3,2.5,6.4,0.89,2.0,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,
25204,127.0,7.54,14.4,3.7,1.7,6.8,3.2,0.2,0.2,,0.082,0.15,0.85,2.14,0.01,0.01,0.01,27.7,18.0,0.06,0.4,2.14,1.0,0.01,0.01,0.01,0.01,0.011,0.016,0.29,621.0,0.45,20.0
25205,78.2,5.0,7.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25511,69.8,6.4,3.6,3.0,1.2,2.59,,,,,,,,,,,,30.8,27.1,0.1,0.46,1.73,0.68,,,,,,,,,0.56,6.4
10082,92.0,10.3,7.43,2.24,1.6,1.05,0.3,,0.21,0.004,,0.01,0.17,,,,,,,,0.99,0.59,0.61,,,,,,,,,,
