source_id,calories_kcal,proteines_g,glucides_g,lipides_g
4032,285,3.28,39.4,11.9
4034,218,3.44,29.5,8.5
4035,191,2.81,28.5,6.6
4036,213,2.54,21.9,12.1
4037,570,5.62,49.8,37.6
4038,463,6.58,62.1,19.8
4039,182,2.38,22.5,8.3
4042,178,2.8,23.2,7.72
4043,135,2.32,20.9,4.2
4044,154,2.41,23.4,5.09
4045,254,3.5,34,10.8
4046,244,3.12,29.1,12.1
4047,91.8,2.11,12.7,3.25
4048,93.2,2.01,17.2,1.37
4101,86.3,1.51,18.3,0.15
4102,62.8,1.69,12.2,0.15
4103,79.8,1.1,12.1,2
20050,81.9,1.8,16,0.7
20196,60.7,1.94,11.5,0.31
53101,125,0.79,28.9,0.18
53200,107,1.5,22.8,0.2
53201,131,0.52,29.5,0.11
53502,111,1.53,23.8,0.17
53503,109,1.49,23.6,0.14
54031,157,1.31,36.3,0.29
54034,132,0.69,32,0.043
54500,105,1.07,22.2,0.23
20293,131,9.63,13.7,0.5
20500,82.9,8.06,9.35,0.8
20502,112,6.75,12,1.1
20503,116,9.63,12.3,0.6
20505,,9.02,12.2,0.38
20506,,8.6,16.3,1.49
20507,147,8.31,17.7,3
20508,,6.1,12.2,0.79
20510,,6.28,11.8,0.64
20511,,6.57,10.9,0.4
20513,112,6.75,12,1.1
20524,,8.31,13,0.97
20531,,7.54,11.9,0.55
20532,,6.74,15,2.68
20540,,5.63,15.8,1.1
20542,,6.4,9,0.5
20543,,5.6,7.4,0.5
20587,127,10.1,16.2,0.58
20588,,9.7,16.3,0.7
20589,,10.6,15,0.5
20700,,8.38,12.1,0.62
20517,,6.76,4.2,0.67
20521,,8.86,19,0.58
20534,,36.2,21.5,9.74
20536,,7.5,7.95,0.22
20537,,9.32,25.6,0.7
20541,,14.9,14.9,0.3
20501,,19.1,43.9,1.78
20504,,25.4,50.6,1.34
20515,,22.8,52,1.44
20516,,20.5,47.5,5.85
20518,,26.1,33.3,1.53
20525,,22.5,46.1,1.06
20530,,24.5,47.6,1.42
20535,,27.7,44.9,0.8
20539,,19.1,42.1,2.6
20585,,25.1,44.5,1.8
20586,,26.1,48.3,1.9
13000,45.9,0.81,9.01,0.5
13002,54.4,0.5,11.7,0.5
13005,90.5,1.06,19.7,0.5
13007,,1.33,9.68,0.86
13008,55.7,0.81,13,0.3
13009,27.6,0.5,1.56,0.5
13010,,0.51,13.4,0.1
13012,69.4,1.19,13.5,0.5
13014,38.6,0.63,6.03,0.5
13015,49.2,1.19,5.83,0.8
13016,101,2.13,10.9,3
13018,80.6,1.44,14.3,1.2
13019,68.5,1.56,7.06,0.7
13020,,0.75,4.88,0.59
13021,60.5,0.88,11,0.6
13023,81,1.13,16.1,0.5
13024,47.3,0.81,9.17,0.5
13025,73.9,0.63,14.3,0.5
13026,62.7,1.13,14.8,0.5
13027,76.9,0.63,18,0.5
13028,57.7,0.87,10.6,0.33
13029,47.3,1.13,6.53,0.7
13030,,1.16,8.9,0.31
13034,45.5,0.75,8.03,0.5
13035,42.2,0.75,8.53,0.3
13036,38.9,0.69,8.33,0.5
13037,,0.49,10.9,0.27
13039,,0.25,11.6,0.25
13040,39.8,0.5,8.02,0.5
13041,71.3,0.94,16.4,0.5
13043,,1.08,9,0.33
13044,73.4,0.75,16.6,0.5
13045,,0.63,15.6,0.4
13047,,0.78,1.47,0.23
13050,,0.27,10.7,0.13
13054,,1.15,3.9,0.32
13056,,1.72,15.4,0.64
13061,,0.71,8.2,0.42
13063,,0.37,6,0.31
13066,68.6,0.88,14.3,0.3
13067,40.2,1.13,3.14,0.3
13071,,1.44,8.1,0.39
13077,,0.65,20,0.21
13080,,2.65,57.4,0.6
13083,,1.59,9.02,0.73
13085,,0.4,11.6,0.1
13086,54.9,0.5,11.7,0.5
13100,,0.66,9.92,0.29
13101,79.1,0.75,16.9,0.5
13107,,0.3,10.4,0.1
13110,,1.1,10.5,0.3
13112,,0.72,15.7,0.16
13113,,0.75,7.6,0.13
13121,53.9,0.5,11.4,0.5
13122,51.5,0.5,10.7,0.5
13125,,1.38,5.4,0.3
13126,,0.64,11.4,0.5
13132,,0.68,8.9,0.43
13134,,0.5,11.4,0.15
13136,,1.16,6.43,0.8
13148,51.3,0.69,11.3,0.5
13149,51.8,0.81,11.4,0.5
13150,,1.22,10.7,0.42
13179,,0.69,7.31,0.1
13180,,0.77,6.2,0.14
13188,53.1,0.5,11.4,0.5
13189,54.1,0.5,11.5,0.5
13190,51.8,0.5,11.2,0.5
13191,54.5,0.5,11.9,0.5
13192,60.1,0.5,12.8,0.5
13193,47.2,0.69,9.48,0.5
13194,46.1,0.63,9.63,0.5
13195,46.3,0.69,9.8,0.5
13529,,1.47,23.3,5.33
13549,,1.57,9.6,1.18
13552,,1.31,14,0.1
13614,,0.76,8.62,0.04
13620,57.1,0.5,12.8,0.5
13621,90.1,0.69,20,0.5
13742,,0.58,4.3,0.17
13997,,1.11,7.88,0.31
13999,59.5,0.7,11.6,0.26
13038,102,0.23,24.4,0.21
13048,,0.39,29.2,0.05
13108,102,0.5,23.9,0.092
13109,66,0.5,15.3,0.08
13128,,0.72,2.8,0.12
