id,source_id,calories_kcal,proteines_g,glucides_g,lipides_g,fibres_g,sucres_g,ag_satures_g,ag_monoinsatures_g,ag_polyinsatures_g,cholesterol_mg,calcium_mg,fer_mg,magnesium_mg,phosphore_mg,potassium_mg,sodium_mg,zinc_mg,cuivre_mg,selenium_ug,iode_ug,vitamine_a_ug,beta_carotene_ug,vitamine_d_ug,vitamine_e_mg,vitamine_k_ug,vitamine_c_mg,vitamine_b1_mg,vitamine_b2_mg,vitamine_b3_mg,vitamine_b5_mg,vitamine_b6_mg,vitamine_b9_ug,vitamine_b12_ug
3221,25071,342.00,6.00,3.70,4.30,2.3,0.86,1.57,2.11,0.58,,30.5,1.05,14.3,78,221,356,0.6,0.09,,4,0,587,0,0.5,,10.5,0.18,0.09,1.23,0.31,0.16,19.9,0.2
3222,25098,552.00,8.30,8.60,6.30,4,1.8,2.2,,,,,,,,293,500,,,,,,,,,,,,,,,,,
3223,25099,672.00,10.50,10.10,7.86,3.86,1.09,2.43,2.61,0.88,,,,,,307,416,,,,,,,,,,,,,,,,,
3224,25103,503.00,5.49,2.00,9.67,2.31,0.88,3.24,4.16,1.08,,18.4,0.87,12.8,62,199,280,0.75,0.066,,4,10,,0.1,1.1,,7,0.06,0.06,0.9,,0.07,,
3225,25106,393.00,5.30,2.00,6.60,3.13,2,,,,,145,,41.4,,,350,0.8,0.23,,,,,,,,,,,,,,,
3226,25111,494.00,7.13,13.00,3.35,3.56,2.58,1.13,1.39,0.32,,32.8,1.6,27.3,78.5,282,371,1.2,0.15,,2,2,233,0.5,0.88,4.6,2.25,0.088,0.068,1.25,0.16,0.15,44,0.35
3227,25123,610.00,5.82,5.16,10.80,2.84,3.01,3.37,3.25,2.27,,16,0.62,22,150,576,393,0.47,0.06,,5.2,37,150,0.2,0.46,,3.1,0.06,0.11,1.3,0.33,0.09,10,0.6
3228,25124,554.00,8.05,5.00,8.61,1.65,0.9,1.4,2.54,0.95,,22.1,1.31,17.9,107,230,260,0.85,0.065,,5.16,20.7,846,0.039,0.84,,4.76,0.1,0.14,3.15,0.4,0.14,18.4,1.19
3229,25159,550.00,12.80,4.50,6.83,1,2.4,2.73,3.25,0.52,,5.1,1.6,14.7,102,211,394,3,0.1,,2,4,700,0.5,0.71,,0.5,0.07,0.16,2.95,0.23,0.19,24,1.65
3230,25164,406.00,11.20,3.50,4.08,0.6,1.1,0.8,2.62,0.39,,13.7,0.6,18.4,97.4,234,586,1.26,0.057,,3.3,0,481,0,0.53,,2.4,0.083,0.12,3.48,0.25,0.19,11,0.38
3231,25190,448.00,9.30,2.50,6.40,1.3,2,1.7,,,,,,,,,355,,,,,,,,,,,,,,,,,
3232,25204,534.00,7.54,14.40,3.70,3,6.8,0.4,2.14,1,,18,0.45,17,82,220,466,0.46,0.06,,20,21,152,0.25,1.27,7.32,0.5,0.14,0.037,2.3,0.39,0.096,30.2,0.075
3233,25205,329.00,5.00,7.80,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,25511,292.00,6.40,3.60,3.00,1.4,2.59,0.46,1.73,0.68,,27.1,0.56,14.1,77.6,184,277,0.63,0.1,,6.4,10.3,93.2,0.088,0.55,,4.86,0.1,0.13,1.24,0.46,0.11,21.2,0.18
3235,10082,388.00,10.30,7.43,2.24,0.53,1.05,0.99,0.59,0.61,,,,,,,345,,,,,,,,,,,,,,,,,
